player_name,team_long_name,team_short_name,league,Age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Konstantinos Rougalas,Oud-Heverlee,O-H,Belgium Jupiler League,23,187.96,174,62.44444444,69.11111111,33.11111111,23,60.66666667,38.22222222,27,30,31.55555556,27.44444444,31.88888889,38,58.44444444,56.33333333,49.22222222,57.11111111,46.22222222,53.11111111,62.33333333,68.55555556,75.77777778,22.66666667,63.77777778,60.55555556,21,32.44444444,32,66.33333333,66.77777778,63.44444444,7,14,13,7,9
Davy de Fauw,Club Bruges,CLB,Belgium Jupiler League,35,185.42,152,68.81818182,69.72727273,65.63636364,38.09090909,58.72727273,67.86363636,28.18181818,58.09090909,57.18181818,70.68181818,70.81818182,66.77272727,60.09090909,67.90909091,60.5,69.81818182,64.90909091,71.36363636,73.22727273,77.63636364,64.68181818,67.86363636,65.90909091,71.81818182,45.22727273,62.68181818,74.68181818,71.36363636,70.04545455,69.40909091,7.863636364,12.77272727,25.36363636,15.68181818,15.77272727
Dario Melnjak,Lokeren,LOK,Belgium Jupiler League,24,177.8,161,62.85714286,68,62.57142857,32.57142857,52.57142857,61.57142857,41.57142857,56.57142857,46.57142857,50.57142857,57.57142857,58.57142857,68,67,69,61.28571429,67,59.57142857,59.85714286,65,60,52.57142857,66.71428571,62.57142857,59.57142857,60.28571429,34.57142857,64.28571429,64.71428571,63.28571429,14.57142857,6.571428571,9.571428571,7.571428571,5.571428571
Jean-Charles Castelletto,Mouscron-Peruwelz,MOP,Belgium Jupiler League,21,185.42,172,59.85714286,76.28571429,51.28571429,23,58.42857143,56.42857143,31.28571429,39.28571429,48.28571429,22.28571429,54.28571429,50.28571429,78.71428571,78.5,55.28571429,51.28571429,48.85714286,49.28571429,78.71428571,73.35714286,69.14285714,25.28571429,51.14285714,60.28571429,28.28571429,27.28571429,35.28571429,61.85714286,60.57142857,57.57142857,11.28571429,13.28571429,13.28571429,13.28571429,8.285714286
Pieter Gerkens,St.Truiden,STT,Belgium Jupiler League,21,180.34,159,62.72222222,73.61111111,51.16666667,39.94444444,49.27777778,67.33333333,52.61111111,55.16666667,36.27777778,39.27777778,66.77777778,65.66666667,58.44444444,53.83333333,70.77777778,60,72,54.94444444,57.61111111,69.66666667,54.83333333,40.44444444,54.38888889,65.22222222,57.72222222,62.27777778,41.27777778,54.38888889,61.55555556,59.11111111,11.27777778,9.277777778,9.277777778,8.277777778,12.27777778
Marko Miric,Lokeren,LOK,Belgium Jupiler League,29,193.04,176,67.33333333,67.33333333,67,67,67,68,64,71.33333333,63,41,63,71,63.5,65.5,56.66666667,59.66666667,43,67,56.33333333,66,69,61,37,38,69,64,68,23,27,22,9,14,7,14,15
Kara Mbodji,Genk,GEN,Belgium Jupiler League,27,193.04,194,73.03703704,77.81481481,51.85185185,43.11111111,72.88888889,66.55555556,50.2962963,57.18518519,44.22222222,54.22222222,66.03703704,68.11111111,70.2962963,75.07407407,54.14814815,70.11111111,47.77777778,78.92592593,79.62962963,81.51851852,87.2962963,56.59259259,75.66666667,69.44444444,47.85185185,58.88888889,60.33333333,70.44444444,72.07407407,70.2962963,9.703703704,7.555555556,17.88888889,9.407407407,12.18518519
Mario Ticinovic,Lokeren,LOK,Belgium Jupiler League,25,172.72,154,55.82352941,66.11764706,55.82352941,47.41176471,38.88235294,59.76470588,44.23529412,66.23529412,59.17647059,50.47058824,54.88235294,61.58823529,61.35294118,69.76470588,60.05882353,54.29411765,75,60.29411765,56.52941176,50.82352941,63.76470588,37.35294118,45.70588235,51.94117647,51.41176471,56.11764706,56.41176471,50.52941176,49.23529412,45.29411765,13.23529412,13.23529412,12.23529412,7.235294118,8.235294118
Victorien Angban,St.Truiden,STT,Belgium Jupiler League,20,180.34,150,64.71428571,77.57142857,62,45,41,68.85714286,37,71.28571429,59,45,69.57142857,73,66.28571429,65.14285714,65.57142857,59,67.42857143,51.85714286,57.57142857,55.57142857,78,54.14285714,78.57142857,52,60.71428571,69,53,34.57142857,52.85714286,48.42857143,11,13,8,9,13
Hugo Sousa,Waasland-Beveren,WAA,Belgium Jupiler League,24,182.88,174,65.625,71,36.5,30.5,69.75,61.5,41.5,51.5,32.5,40.5,56.5,57.5,61.5,68.625,64.875,64.125,59,71.75,78.375,61.5,74.375,44.5,69.875,62.25,40.5,44.5,61.5,63.875,65.625,61.125,10.5,12.5,5.5,15.5,7.5
Jorge Teixeira,Standard Liege,STL,Belgium Jupiler League,30,187.96,192,65.85,69.3,65.5,35.6,65.6,57.15,28.5,31.35,63.5,56.5,63.5,60.25,59,64.05,55.75,59.2,56.1,42.75,49.1,75.75,75.75,31.15,81.3,60.9,50.5,57.4,66.5,65.7,64.45,66.85,7.1,5.1,12.1,11.1,15.1
Alfonso Artabe,St.Truiden,STT,Belgium Jupiler League,28,185.42,172,60,62.33333333,36,26,62,66,31,47,35,44,61,53,56,55,52,46,56,53,59,66,68,28,56,63,34,46,47,62,61,57,14,9,5,5,8
Cristophe Diandy,Sporting Charleroi,CHA,Belgium Jupiler League,26,185.42,170,64.7,71.65,59.25,44.95,63.8,64.15,52.05,65,53.2,56.2,61.6,67.1,66.7,71,69.6,64.4,63.25,61.95,66.95,78.85,72.9,55.45,62.35,62.1,51.85,56.8,54.3,58.85,62.05,60.7,12.8,10.6,17.6,9.7,9.7
Romain Reynaud,Oud-Heverlee,O-H,Belgium Jupiler League,33,182.88,187,65.94444444,67.22222222,28.22222222,30.22222222,59.88888889,58.83333333,18.94444444,31.22222222,32.22222222,32.22222222,56.38888889,54.77777778,43.22222222,48.55555556,45.66666667,64.55555556,59.16666667,46.16666667,68.5,65.77777778,73.05555556,28.22222222,79.88888889,62.83333333,37.77777778,57.38888889,39.5,66.83333333,67.5,65.27777778,12,9.5,20.66666667,12.83333333,17
Jere Uronen,Genk,GEN,Belgium Jupiler League,22,177.8,152,62.88,73.92,65.88,41.28,44.24,61.6,48.88,59.2,67.6,63.4,62.12,65.24,73.04,71.32,71.52,62.92,72.92,75.84,65.4,72.44,54.36,61.64,66.8,60.84,46.28,59.64,35.56,59.68,61.6,63.4,6.24,9.24,7.24,9.24,7.24
Karel Geraerts,Sporting Charleroi,CHA,Belgium Jupiler League,34,180.34,176,68.54166667,69.66666667,63.54166667,66.04166667,75.54166667,68.20833333,61.54166667,57.29166667,47.08333333,58.91666667,65.58333333,63.79166667,55.16666667,63.20833333,61.625,72.29166667,67.375,73.625,69.70833333,83.20833333,76.83333333,67.45833333,78.5,72.20833333,76.625,68.66666667,66.16666667,59.95833333,68.04166667,65.66666667,12.29166667,8.416666667,26,13.875,15.79166667
David Vandenbroeck,Oud-Heverlee,O-H,Belgium Jupiler League,31,187.96,187,63.63636364,66.36363636,44.45454545,29.45454545,65.09090909,56.09090909,33,40.36363636,44,49,49.45454545,53.81818182,44.81818182,50.18181818,49.90909091,58.63636364,60.18181818,54.18181818,60.45454545,64.81818182,74.63636364,33.72727273,64.18181818,67.72727273,46.90909091,56.81818182,50.72727273,63,64.81818182,62.36363636,9,20.09090909,24,20.09090909,17.36363636
Parfait Mandanda,Sporting Charleroi,CHA,Belgium Jupiler League,27,182.88,172,66.0625,70.375,17.625,17.125,19.125,22.125,18.625,17.625,19.625,19.125,22.125,21.125,57.875,45.5,59.75,61.75,49.5,21.125,74.25,32.75,71.75,21.125,20.625,22.5,17.625,27,19.125,19.125,21.125,20.125,71.5,60.875,62.125,61.125,71.5625
Rob Schoofs,St.Truiden,STT,Belgium Jupiler League,22,180.34,150,66.6,75,65,56,53,69.8,57,62,67,69.3,67.8,67,69,64.4,70,66.4,70.7,62.5,65,74.1,67,63.5,64,64.6,63,70.4,53,41.6,49,45,8,6,13,8,14
David Hubert,Mouscron-Peruwelz,MOP,Belgium Jupiler League,28,182.88,174,66.75,70.10714286,54.28571429,37.42857143,64.46428571,66.28571429,59.5,52.96428571,51.10714286,51.64285714,63.46428571,62.28571429,63.03571429,60.10714286,63.71428571,68.85714286,62.07142857,65.92857143,67.92857143,73.07142857,67.53571429,60.67857143,67.78571429,72.35714286,47.60714286,62.82142857,54.10714286,63.25,67.82142857,66.64285714,10.57142857,14.28571429,20.85714286,10,12.57142857
Pierre-Yves Ngawa,Oud-Heverlee,O-H,Belgium Jupiler League,24,180.34,170,62.61538462,68.69230769,57.61538462,32.38461538,59.07692308,55.61538462,31.38461538,58.69230769,37.61538462,31.38461538,50.61538462,60.30769231,75,79.07692308,71,61.92307692,59,55.38461538,70.23076923,65.38461538,69.23076923,44.38461538,66.38461538,56.92307692,37.38461538,37.92307692,40.38461538,62,64.69230769,63.61538462,6.384615385,13.38461538,10.38461538,7.384615385,8.384615385
Francois Marquet,Mouscron-Peruwelz,MOP,Belgium Jupiler League,21,175.26,143,60.13333333,71.6,47.33333333,38.6,48.66666667,62.26666667,35,58.73333333,48.26666667,58,61.8,63.73333333,67.33333333,66,75.66666667,60,71.8,64.86666667,56.4,65.26666667,52.4,60.26666667,66,57,51.33333333,60.73333333,48,55.66666667,59.6,57.93333333,10,9,8,14,12
Din Sula,Oud-Heverlee,O-H,Belgium Jupiler League,18,182.88,165,55.2,73.2,27,58,57,56,39,48,36,42,31,57,69.6,67,53,49.8,63,42,55,34.6,68,53,33,13,52.6,51.2,67,11,17,13,5,7,6,11,14
Salomon Nirisarike,St.Truiden,STT,Belgium Jupiler League,23,185.42,181,62,68,37,23,60,45.5,22,35,24,26,45,42,55.5,54,57.5,59,51.75,47,71,67.5,79,29,61.5,61,30,29,35,62,62.5,61,11,6,6,12,14
Sebastien Dewaest,Sporting Charleroi,CHA,Belgium Jupiler League,25,187.96,194,68.23529412,71.88235294,38.52941176,30.76470588,71.05882353,52.94117647,21.52941176,27.52941176,32.52941176,38.52941176,48.52941176,49,51.41176471,59.82352941,41,65.11764706,38,57.35294118,59.35294118,69.29411765,84.41176471,30.29411765,74,66.35294118,24.17647059,37.52941176,39.52941176,68.29411765,69.70588235,65.82352941,15.52941176,6.529411765,11.52941176,15.52941176,9.529411765
Tom De Sutter,Club Bruges,CLB,Belgium Jupiler League,31,193.04,203,70.89655172,72.24137931,51.03448276,71.24137931,76.31034483,69.72413793,68.55172414,62.34482759,56.27586207,53.06896552,54.5862069,70.44827586,68.4137931,69.89655172,56.37931034,68.62068966,50.27586207,71.51724138,72.89655172,74.37931034,85.27586207,67.10344828,66.68965517,48.86206897,71.31034483,71.13793103,67.13793103,31.06896552,41.72413793,29.20689655,8.034482759,12.34482759,18.51724138,9.206896552,13.93103448
Maxime Annys,Westerlo,WES,Belgium Jupiler League,30,185.42,179,65,65,55.36363636,35.36363636,63.36363636,65.36363636,43.36363636,45.36363636,57.36363636,54.36363636,63.36363636,59.36363636,55.90909091,62.81818182,52,59.36363636,55.09090909,62.36363636,63.36363636,78.36363636,76,53.36363636,74.36363636,68.36363636,47.36363636,65.36363636,44.36363636,60.36363636,59.36363636,61.36363636,6.363636364,13.36363636,11.36363636,12.36363636,14.36363636
Laurent Henkinet,Waasland-Beveren,WAA,Belgium Jupiler League,24,187.96,192,58.9,68,19.8,19,23.8,37.2,22.4,22.6,22.4,19.8,34.2,24.2,57.1,56.8,61.7,56.6,53,38.9,62.9,34.6,67.6,23.4,24,23.8,19,27,34.2,22.4,22.6,19.8,62.3,56.4,59.1,56.5,60.8
Tuur Dierckx,Club Bruges,CLB,Belgium Jupiler League,21,170.18,150,63.41176471,76.58823529,60.70588235,62.70588235,47.29411765,59.41176471,55.70588235,68.23529412,53.47058824,39.23529412,54.17647059,66.11764706,80.11764706,76.41176471,80.58823529,56.82352941,81.94117647,60.76470588,76.35294118,63.58823529,50.11764706,57.17647059,37.94117647,23.11764706,54.05882353,54.47058824,61.23529412,23.11764706,22.41176471,21.94117647,12.23529412,6.235294118,7.235294118,13.23529412,10.23529412
Martin Milec,Standard Liege,STL,Belgium Jupiler League,25,175.26,152,67.25,72.375,70.375,52.9375,66.8125,64.9375,34.4375,60.625,38.4375,29.4375,67,62.625,76.75,77.125,77.375,65.75,68.75,51.4375,77.3125,71,49.5,51.4375,62.6875,65.75,56.4375,52.4375,41.4375,66.4375,65.375,66.75,7.4375,5.4375,7.4375,10.4375,12.4375
Ruben Fernandes,St.Truiden,STT,Belgium Jupiler League,30,185.42,172,69.6875,70.5625,50.25,46.5,75.4375,60.25,46.5,42.875,47.25,30.25,54.75,56.5,66,70.6875,64.875,69.375,60,62.375,83.6875,69.625,75.9375,45.9375,67.6875,70.875,38.25,45.25,57.25,69.25,70.75,65.625,15.25,6.25,15.25,13.25,7.25
Sandy Walsh,Genk,GEN,Belgium Jupiler League,21,180.34,157,63.14285714,74.76190476,57.9047619,21.47619048,63.23809524,61.95238095,31.47619048,58.14285714,33.47619048,46.47619048,60.47619048,61.61904762,62.19047619,67.61904762,64.19047619,60.19047619,64.9047619,43.47619048,68.47619048,61.19047619,62.0952381,24.47619048,64.52380952,64.85714286,53.47619048,53.66666667,43.47619048,63.57142857,63.14285714,61.0952381,10.47619048,9.476190476,6.476190476,11.47619048,12.47619048
Filip Starzynski,Lokeren,LOK,Belgium Jupiler League,25,182.88,150,63.16666667,69,69.61111111,51.72222222,34.27777778,64.72222222,58.94444444,66.33333333,64.44444444,63.33333333,65.72222222,67.83333333,52.27777778,51.11111111,65.5,60.22222222,62.05555556,62.44444444,63.44444444,59.11111111,59.22222222,62.16666667,36.72222222,42.44444444,55.61111111,70.22222222,57.66666667,47.11111111,43,35.27777778,14.27777778,8.277777778,8.277777778,6.277777778,15.27777778
Mamadou Bagayoko,St.Truiden,STT,Belgium Jupiler League,27,175.26,143,65.4,66.8,63,21,52,56,26,64,27,33,51,68,72,71.8,70.6,57,76,31,66,72,55,25,71,63,56,36,45,68,66,70,7,12,8,6,9
Cristian Cuevas,St.Truiden,STT,Belgium Jupiler League,21,175.26,143,65,74.6,66,59.8,47.8,59.8,29.8,63.8,70.6,49.8,51.8,64.8,85.2,86.5,88.5,57.2,75.5,60.8,75.8,67.5,40.5,62.8,74.2,54.8,73,51.8,49.8,58,61.6,66.8,14.3,5.3,6.3,7.3,11.3
Yanis Mbombo Lokwa,St.Truiden,STT,Belgium Jupiler League,22,177.8,172,59.38461538,68.38461538,45.15384615,61.46153846,51.07692308,52.30769231,57.30769231,61.84615385,49.15384615,34.53846154,43.53846154,59,76.76923077,74.61538462,67.76923077,58.38461538,69.76923077,61.23076923,68.23076923,58.61538462,56,58.23076923,32.15384615,22.92307692,51.15384615,49.07692308,60.46153846,21.15384615,21.53846154,20,10.38461538,11.38461538,11.38461538,11.38461538,6.384615385
Bjorn Engels,Club Bruges,CLB,Belgium Jupiler League,22,193.04,183,66.95238095,77.66666667,48.33333333,33.19047619,68.76190476,62.80952381,26.19047619,47.61904762,28.19047619,35.19047619,65.71428571,59.52380952,58.80952381,65.9047619,56.42857143,63.28571429,43.0952381,45.19047619,66.19047619,67.28571429,71.52380952,25.19047619,67.52380952,65,36.76190476,47.33333333,34.19047619,67.95238095,68.66666667,66.76190476,8.19047619,11.19047619,13.19047619,6.19047619,7.19047619
Jose Izquierdo,Club Bruges,CLB,Belgium Jupiler League,24,170.18,161,69.48,75.08,65.08,64.2,59.08,61.56,52.12,69.56,42.08,33.08,55.64,69.24,83.72,85.68,81.84,68.16,78.76,68.64,71.36,78.92,57.4,66.2,26.08,28.76,63.92,63.88,57.08,24.44,20.08,24.2,12.08,7.08,11.08,6.08,12.08
Khaleem Hyland,Westerlo,WES,Belgium Jupiler League,27,182.88,187,67.5,72.90909091,55.68181818,49.18181818,67.31818182,67.27272727,53.31818182,64.5,47.86363636,61.09090909,63.63636364,68.5,65.18181818,67.09090909,60.54545455,65.95454545,68.13636364,78.13636364,75.40909091,73.45454545,85.27272727,66.04545455,81.04545455,62.86363636,57.63636364,62.36363636,52.81818182,61.68181818,66.90909091,65.13636364,6.363636364,12.72727273,18.09090909,9.272727273,10.13636364
Elimane Coulibaly,Mouscron-Peruwelz,MOP,Belgium Jupiler League,36,190.5,196,65.2173913,66.2173913,45.26086957,68,73.34782609,62.17391304,63.13043478,54.34782609,36.04347826,32.2173913,39.82608696,58.95652174,53.86956522,56.65217391,52.91304348,57.69565217,53.69565217,72.69565217,59.30434783,53.39130435,89.43478261,59.52173913,67.13043478,38.34782609,68.82608696,68.34782609,57.56521739,30.30434783,39.04347826,31.60869565,15.7826087,20.91304348,20.91304348,13.91304348,17.47826087
Mohammed Aoulad,Westerlo,WES,Belgium Jupiler League,25,182.88,174,65.52941176,71.11764706,63.35294118,64.47058824,60.82352941,60.88235294,62.70588235,69.64705882,62.94117647,64.17647059,58.76470588,67.35294118,75.05882353,73.35294118,72,62.76470588,66.88235294,66.52941176,72.58823529,69.47058824,65.29411765,64.05882353,37.35294118,20.76470588,65.29411765,61.29411765,54.35294118,22.11764706,31.11764706,26.58823529,13.35294118,12.35294118,15.35294118,12.35294118,11.35294118
Kristof van Hout,Westerlo,WES,Belgium Jupiler League,29,208.28,243,61.35714286,66.5,18.71428571,15.5,18.07142857,29,11.28571429,16.78571429,12.28571429,14.28571429,35.35714286,24,34.42857143,36.57142857,38.14285714,56.57142857,53.64285714,51.5,48.14285714,33,90,19.35714286,34.21428571,28.42857143,14.5,35.57142857,29.28571429,19.35714286,17.42857143,8,64.64285714,61.85714286,57.35714286,62.14285714,60
Nicolas Penneteau,Sporting Charleroi,CHA,Belgium Jupiler League,35,185.42,172,74.44444444,77,16.72222222,16.5,19.66666667,28.94444444,16.05555556,18.61111111,12.55555556,17.61111111,37.88888889,25.72222222,44.72222222,44.61111111,43.44444444,53.61111111,53.05555556,21.05555556,62.33333333,44.5,58.05555556,16.61111111,27.16666667,28.22222222,26.16666667,19.44444444,30.22222222,16.88888889,17.44444444,15.05555556,73.83333333,73.77777778,77.38888889,77.11111111,77
Mbaye Leye,Zulte-Waregem,ZUL,Belgium Jupiler League,34,182.88,165,69.42307692,70.42307692,65.65384615,68,70.42307692,66.19230769,68,67.92307692,68.34615385,65.61538462,58.84615385,69.84615385,70.76923077,71.42307692,73.15384615,68.65384615,65.96153846,69.76923077,79.57692308,74.46153846,69.69230769,66.11538462,57.03846154,46.96153846,72.30769231,71.30769231,67.26923077,29.03846154,35.03846154,37.38461538,8.269230769,16.42307692,21.96153846,15.65384615,8.730769231
Karim Essikal,Zulte-Waregem,ZUL,Belgium Jupiler League,20,182.88,168,57.78571429,68.42857143,44.57142857,43.71428571,57.64285714,59.14285714,31.57142857,52.92857143,34.57142857,34.57142857,62.57142857,56.35714286,55.64285714,57.78571429,60.42857143,56.71428571,56.42857143,47.57142857,58.92857143,54.21428571,61.07142857,45.71428571,62.57142857,52,33.07142857,55.71428571,45.57142857,59.21428571,59.35714286,60.57142857,12.57142857,14.57142857,9.571428571,8.571428571,13.57142857
Edmilson Junior,St.Truiden,STT,Belgium Jupiler League,22,180.34,143,69.08333333,77.08333333,69.83333333,59.5,32,61,51.16666667,76.5,65,66.33333333,57,74.16666667,78.25,76,82,62.83333333,71,73.16666667,70,77.25,62.16666667,69.5,46.16666667,36,62.5,62.5,53,37,42,40.66666667,14,16,8,10,11
Anice Badri,Mouscron-Peruwelz,MOP,Belgium Jupiler League,26,177.8,161,65.66666667,69.08333333,61.91666667,67.83333333,57.41666667,63.41666667,62.41666667,68.75,54.91666667,56.91666667,57.41666667,66.25,77,76.75,74,64.41666667,72,65.33333333,67.83333333,60,58,69.41666667,41.41666667,23.41666667,65.91666667,61.33333333,64.41666667,20.41666667,21.41666667,22.91666667,7.416666667,6.416666667,10.41666667,7.416666667,13.41666667
Mikel Agu,Club Bruges,CLB,Belgium Jupiler League,23,182.88,170,64.2,74.3,46.3,40.3,64.3,67.3,37.3,57.3,43.3,39.1,65.3,62.3,59.9,65.6,61.3,59.6,61,54.3,71,69.3,73,39.3,81.5,66.1,32.3,46.3,45.3,58.4,66.2,65.1,13.3,13.3,8.3,13.3,13.3
Alessandro Cerigioni,Oud-Heverlee,O-H,Belgium Jupiler League,24,177.8,159,63.8,70,53.4,63.1,52.8,64.2,58.6,67,54,54,59.6,67.8,76,77,68.2,63,65,61.8,60,65.3,53.1,65.2,40.8,28.4,58.2,61.8,53,15.7,13.7,19.7,10,10,8,12,14
Robin Henkens,Westerlo,WES,Belgium Jupiler League,28,175.26,161,64.2,66.76,61.92,58.92,52.4,63.68,57.4,63.76,63.96,65.44,62.64,65.88,69.16,67,72.12,65.72,78.72,66.8,64.28,67.48,58.08,63.92,62.12,61.8,59.12,64.16,56.56,51.2,58.84,56.88,16,15,11,11,15
Gilles Ruyssen,Westerlo,WES,Belgium Jupiler League,22,185.42,190,61.88888889,70.55555556,39.11111111,23.11111111,62,46.88888889,22.11111111,33.11111111,25.11111111,20.88888889,45,44.11111111,54.22222222,56.44444444,47.33333333,60.44444444,50.77777778,50.33333333,63.77777778,53.88888889,74,33.11111111,65.66666667,60.77777778,23.11111111,30.33333333,36.11111111,60.66666667,63.11111111,64.44444444,13.44444444,8.444444444,7.444444444,8.444444444,7.444444444
Thomas Matton,Gent,GEN,Belgium Jupiler League,31,177.8,159,66.08333333,67.41666667,66.04166667,63.25,44.20833333,67.625,62.58333333,69.41666667,64.25,67.375,63.95833333,69.58333333,57.45833333,59.70833333,66.83333333,63.54166667,60.625,63.25,51.04166667,72.33333333,51.875,66.58333333,43.79166667,50.125,62.625,67.25,62.25,29.79166667,34.95833333,37.125,9.041666667,8.125,16.75,8.125,11.45833333
Kenneth Saief,Gent,GEN,Belgium Jupiler League,23,175.26,159,66,73.72222222,64,64.94444444,39.5,64.94444444,62.66666667,69.38888889,64,63.38888889,62.22222222,67,71.55555556,69.55555556,72.88888889,62.11111111,72.16666667,66.66666667,62.77777778,63.33333333,58.94444444,64.5,63.33333333,37.16666667,65.38888889,60.83333333,60.22222222,31.94444444,40.55555556,40.5,10.5,7.5,14.5,7.5,11.5
Oscar Duarte,Club Bruges,CLB,Belgium Jupiler League,27,182.88,183,69.77777778,72.88888889,39.27777778,21.27777778,72.72222222,56.05555556,31.27777778,45.05555556,27.27777778,31.27777778,49.44444444,54.94444444,63.55555556,69.16666667,54.88888889,66.38888889,50.22222222,46.27777778,72.77777778,66.22222222,77.05555556,23.27777778,73.61111111,64.83333333,26.94444444,39.38888889,36.27777778,70.72222222,72.44444444,69.44444444,14.27777778,8.277777778,6.277777778,7.277777778,13.27777778
Sotiris Ninis,Sporting Charleroi,CHA,Belgium Jupiler League,26,172.72,154,74.27272727,78.90909091,74.18181818,67.59090909,56.63636364,76.77272727,71.59090909,77.5,72.86363636,73.22727273,71.18181818,80.5,79.36363636,74.31818182,82.18181818,70.31818182,77.5,69.09090909,60,67.59090909,60.95454545,75.18181818,51.95454545,30.40909091,63.54545455,74.27272727,71.59090909,20.18181818,30.13636364,23.86363636,9.863636364,7.863636364,25.86363636,11.72727273,15.59090909
